"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_survey_methodology_question_designer","survey_methodology.question.designer","model_survey_methodology_question","group_designer",1,1,1,1
"access_survey_methodology_question_poolster","survey_methodology.question.poolster","model_survey_methodology_question","group_poolster",1,1,1,1
"access_survey_methodology_survey_designer","survey_methodology.survey.designer","model_survey_methodology_survey","group_designer",1,1,1,1
"access_survey_methodology_survey_poolster","survey_methodology.survey.poolster","model_survey_methodology_survey","group_poolster",1,1,1,1
"access_survey_methodology_category_designer","survey_methodology.category.designer","model_survey_methodology_category","group_designer",1,1,1,1
"access_survey_methodology_category_poolster","survey_methodology.category.poolster","model_survey_methodology_category","group_poolster",1,1,1,1
"access_survey_methodology_answer_designer","survey_methodology.answer.designer","model_survey_methodology_answer","group_designer",1,1,1,1
"access_survey_methodology_answer_poolster","survey_methodology.answer.poolster","model_survey_methodology_answer","group_poolster",1,1,1,1
"access_res_partner_designer","res.partner.designer","model_res_partner","group_designer",1,1,1,1
"access_res_partner_poolster","res.partner.poolster","model_res_partner","group_poolster",1,1,1,1
"access_survey_methodology_input_test_designer","survey_methodology.input_test.designer","model_survey_methodology_input_test","group_designer",1,1,1,1
"access_survey_methodology_input_test_poolster","survey_methodology.input_test.poolster","model_survey_methodology_input_test","group_poolster",1,1,1,1
"access_survey_methodology_format_designer","survey_methodology.format.designer","model_survey_methodology_format","group_designer",1,1,1,1
"access_survey_methodology_format_poolster","survey_methodology.format.poolster","model_survey_methodology_format","group_poolster",1,1,1,1
"access_survey_methodology_message_designer","survey_methodology.message.designer","model_survey_methodology_message","group_designer",1,1,1,1
"access_survey_methodology_message_poolster","survey_methodology.message.poolster","model_survey_methodology_message","group_poolster",1,1,1,1
"access_survey_methodology_questionnaire_designer","survey_methodology.questionnaire.designer","model_survey_methodology_questionnaire","group_designer",1,1,1,1
"access_survey_methodology_questionnaire_poolster","survey_methodology.questionnaire.poolster","model_survey_methodology_questionnaire","group_poolster",1,1,1,1
