"id","name","note","format_id/id","initial_state","next_enable","parent_id/id","place","question","survey_id/id","type","variable_name","page"
"zondaggio.EE12","EE12",,,"closed",,,"1","Encuesta Estructural a PyME industriales 2012","zondaggio.survey_EE12","View",,"1"
"zondaggio.EE12_MIE","MIE",,,"closed",,"zondaggio.EE12","1","Modificaciones en la Identificación de la Empresa","zondaggio.survey_EE12","View",,"1"
"zondaggio.EE12_MIE_RS","RS",,"zondaggio.format_Char","enabled","True:EE12_MIE_CR:","zondaggio.EE12_MIE","1","Razón Social","zondaggio.survey_EE12","Variable","MIE_RS","1"
"zondaggio.EE12_MIE_CR","CR",,"zondaggio.format_Char","enabled","True:EE12_MIE_NK:","zondaggio.EE12_MIE","2","Calle/Ruta","zondaggio.survey_EE12","Variable","MIE_CR","1"
"zondaggio.EE12_MIE_NK","NK",,"zondaggio.format_Char","enabled","True:EE12_MIE_LOC:","zondaggio.EE12_MIE","3","Número/Km","zondaggio.survey_EE12","Variable","MIE_NK","1"
"zondaggio.EE12_MIE_LOC","LOC",,"zondaggio.format_Char","enabled","True:EE12_MIE_DP:","zondaggio.EE12_MIE","4","Localidad","zondaggio.survey_EE12","Variable","MIE_LOC","1"
"zondaggio.EE12_MIE_DP","DP",,"zondaggio.format_Char","enabled","True:EE12_MIE_CP:","zondaggio.EE12_MIE","5","Departamento/Partido","zondaggio.survey_EE12","Variable","MIE_DP","1"
"zondaggio.EE12_MIE_CP","CP",,"zondaggio.format_Char","enabled","True:EE12_MIE_PROV:","zondaggio.EE12_MIE","6","Código Postal","zondaggio.survey_EE12","Variable","MIE_CP","1"
"zondaggio.EE12_MIE_PROV","PROV",,"zondaggio.format_Char","enabled","True:EE12_PANEL:","zondaggio.EE12_MIE","7","Provincia","zondaggio.survey_EE12","Variable","MIE_PROV","1"
"zondaggio.EE12_PANEL","PANEL",,"zondaggio.format_Char","enabled","True:EE12_ISC_SE:","zondaggio.EE12","2","Panel","zondaggio.survey_EE12","Variable","PANEL","1"
"zondaggio.EE12_ISC","ISC",,,"closed",,"zondaggio.EE12","3","Información sobre el cuestionario","zondaggio.survey_EE12","View",,"1"
"zondaggio.EE12_ISC_SE","SE",,"zondaggio.format_Char","enabled","True:EE12_ISC_TEL:","zondaggio.EE12_ISC","1","Su encuestador","zondaggio.survey_EE12","Variable","ISC_SE","1"
"zondaggio.EE12_ISC_TEL","TEL",,"zondaggio.format_Char","enabled","True:EE12_ISC_EMAIL:","zondaggio.EE12_ISC","2","Teléfono","zondaggio.survey_EE12","Variable","ISC_TEL","1"
"zondaggio.EE12_ISC_EMAIL","EMAIL",,"zondaggio.format_Char","enabled","True:EE12_ISC_DATE:","zondaggio.EE12_ISC","3","Correo Electrónico","zondaggio.survey_EE12","Variable","ISC_EMAIL","1"
"zondaggio.EE12_ISC_DATE","DATE",,"zondaggio.format_Date","enabled","True:EE12_A_1:","zondaggio.EE12_ISC","4","Fecha de Entrega","zondaggio.survey_EE12","Variable","ISC_DATE","1"
"zondaggio.EE12_A","A",,,"closed",,"zondaggio.EE12","4","Características generales de la empresa","zondaggio.survey_EE12","View",,"2"
"zondaggio.EE12_A_1","1",,"zondaggio.format_SelectOne","enabled","True:EE12_A_2_1:","zondaggio.EE12_A","1","Sobre la base de las ventas de la empresa, la actividad principal de la empresa es","zondaggio.survey_EE12","Variable","A_1","2"
"zondaggio.EE12_A_1_1","1",,,"closed",,"zondaggio.EE12_A_1","1","la venta de bienes y/o productos elaborados o transformados por la firma","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_1_2","2",,,"closed",,"zondaggio.EE12_A_1","2","la reparación de maquinarias","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_1_3","3",,,"closed",,"zondaggio.EE12_A_1","3","la reventa de productos en el mismo estado en que fueron adquiridos, la venta de servicios, u otra actividad","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_2","2",,,"closed",,"zondaggio.EE12_A","2","Sobre la base de las ventas de la empresa, indique cuál es el principal producto elaborado o reparado y la materia prima básica utilizada por la empresa para su elaboración o reparación","zondaggio.survey_EE12","View",,"2"
"zondaggio.EE12_A_2_1","1",,"zondaggio.format_Char","disabled","True:EE12_A_2_2:","zondaggio.EE12_A_2","1","Principal producto","zondaggio.survey_EE12","Variable","A_2_1","2"
"zondaggio.EE12_A_2_2","2",,"zondaggio.format_Char","disabled","True:EE12_A_2_3:","zondaggio.EE12_A_2","2","Materia prima básica del producto","zondaggio.survey_EE12","Variable","A_2_2","2"
"zondaggio.EE12_A_2_3","3",,"zondaggio.format_Integer","disabled","True:EE12_A_3_1:","zondaggio.EE12_A_2","3","Para uso interno","zondaggio.survey_EE12","Variable","A_2_3","2"
"zondaggio.EE12_A_3","3",,,"closed",,"zondaggio.EE12_A","3","En qué año comenzó a operar la empresa con la actual razón social","zondaggio.survey_EE12","View",,"2"
"zondaggio.EE12_A_3_1","1",,"zondaggio.format_Year","disabled","True:EE12_A_4_1:","zondaggio.EE12_A_3","1","Año","zondaggio.survey_EE12","Variable","A_3_1","2"
"zondaggio.EE12_A_4","4",,,"closed",,"zondaggio.EE12_A","4",".","zondaggio.survey_EE12","View",,"2"
"zondaggio.EE12_A_4_1","1",,"zondaggio.format_SelectOne","disabled","sinput!=""6"":EE12_A_5_1:EE12_A_4_1_6_ESP
sinput==""6"":EE12_A_4_1_6_ESP","zondaggio.EE12_A_4","1","La forma jurídica actual de la empresa es","zondaggio.survey_EE12","Variable","A_4","2"
"zondaggio.EE12_A_4_1_1","1",,,"closed",,"zondaggio.EE12_A_4_1","1","Unipersonal","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_4_1_2","2",,,"closed",,"zondaggio.EE12_A_4_1","2","Sociedad no constituida regularmente","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_4_1_3","3",,,"closed",,"zondaggio.EE12_A_4_1","3","Sociedad Anónima","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_4_1_4","4",,,"closed",,"zondaggio.EE12_A_4_1","4","Sociedad de Responsabilidad Limitada","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_4_1_5","5",,,"closed",,"zondaggio.EE12_A_4_1","5","Sociedad cooperativa","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_4_1_6","6",,,"closed",,"zondaggio.EE12_A_4_1","6","Otra","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_4_1_6_ESP","ESP",,"zondaggio.format_Char","disabled","True:EE12_A_5_1:","zondaggio.EE12_A_4_1_6","1","Especifique","zondaggio.survey_EE12","Variable","A_4_ESP","2"
"zondaggio.EE12_A_5","5",,,"closed",,"zondaggio.EE12_A","5",".","zondaggio.survey_EE12","View",,"2"
"zondaggio.EE12_A_5_1","0",,"zondaggio.format_SelectOne","disabled","sinput==""1"":EE12_A_5_1
sinput==""2"":EE12_A_6_LOC:EE12_A_5_1","zondaggio.EE12_A_5","1","La empresa, ¿forma parte de un conjunto de empresas controladas directa o indirectamente por una misma firma?","zondaggio.survey_EE12","Variable","A_5_0","2"
"zondaggio.EE12_A_5_1_1","1",,,"closed",,"zondaggio.EE12_A_5_1","1","Si","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_5_1_2","2",,,"closed",,"zondaggio.EE12_A_5_1","2","No","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_5_2","1",,"zondaggio.format_SelectOne","disabled","True:EE12_A_6_LOC:","zondaggio.EE12_A_5","2","En su conjunto, ¿todas las empresas del grupo sumadas ocupan a más de 250 personas?","zondaggio.survey_EE12","Variable","A_5_1","2"
"zondaggio.EE12_A_5_2_1","1",,,"closed",,"zondaggio.EE12_A_5_2","1","Si","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_5_2_2","2",,,"closed",,"zondaggio.EE12_A_5_2","2","No","zondaggio.survey_EE12","Null",,"2"
"zondaggio.EE12_A_6","6",,,"closed",,"zondaggio.EE12_A","6","Considerando la cantidad total de ocupados de la empresa, ¿dónde está localizado el principal local industrial o taller de reparación de maquinarias de la empresa?","zondaggio.survey_EE12","View",,"2"
