"id","name","note","format_id/id","initial_state","next_enable","parent_id/id","place","question","survey_id/id","type","variable_name","page"
"survey_methodology_extra.EE12","EE12",,,"closed",,,,"Encuesta Estructural a PyME industriales 2012","survey_methodology_extra.survey_EE12","View",,"1"
"survey_methodology_extra.EE12_MIE","MIE",,,"closed",,"survey_methodology_extra.EE12",,"Modificaciones en la Identificación de la Empresa","survey_methodology_extra.survey_EE12","View",,"1"
"survey_methodology_extra.EE12_MIE_RS","RS",,"survey_methodology_extra.format_Char","enabled","True:EE12_MIE_CR:","survey_methodology_extra.EE12_MIE",,"Razón Social","survey_methodology_extra.survey_EE12","Variable","MIE_RS","1"
"survey_methodology_extra.EE12_MIE_CR","CR",,"survey_methodology_extra.format_Char","enabled","True:EE12_MIE_NK:","survey_methodology_extra.EE12_MIE",,"Calle/Ruta","survey_methodology_extra.survey_EE12","Variable","MIE_CR","1"
"survey_methodology_extra.EE12_MIE_NK","NK",,"survey_methodology_extra.format_Char","enabled","True:EE12_MIE_LOC:","survey_methodology_extra.EE12_MIE",,"Número/Km","survey_methodology_extra.survey_EE12","Variable","MIE_NK","1"
"survey_methodology_extra.EE12_MIE_LOC","LOC",,"survey_methodology_extra.format_Char","enabled","True:EE12_MIE_DP:","survey_methodology_extra.EE12_MIE",,"Localidad","survey_methodology_extra.survey_EE12","Variable","MIE_LOC","1"
"survey_methodology_extra.EE12_MIE_DP","DP",,"survey_methodology_extra.format_Char","enabled","True:EE12_MIE_CP:","survey_methodology_extra.EE12_MIE",,"Departamento/Partido","survey_methodology_extra.survey_EE12","Variable","MIE_DP","1"
"survey_methodology_extra.EE12_MIE_CP","CP",,"survey_methodology_extra.format_Char","enabled","True:EE12_MIE_PROV:","survey_methodology_extra.EE12_MIE",,"Código Postal","survey_methodology_extra.survey_EE12","Variable","MIE_CP","1"
"survey_methodology_extra.EE12_MIE_PROV","PROV",,"survey_methodology_extra.format_Char","enabled","True:EE12_PANEL:","survey_methodology_extra.EE12_MIE",,"Provincia","survey_methodology_extra.survey_EE12","Variable","MIE_PROV","1"
"survey_methodology_extra.EE12_PANEL","PANEL",,"survey_methodology_extra.format_Char","enabled","True:EE12_ISC_SE:","survey_methodology_extra.EE12",,"Panel","survey_methodology_extra.survey_EE12","Variable","PANEL","1"
"survey_methodology_extra.EE12_ISC","ISC",,,"closed",,"survey_methodology_extra.EE12",,"Información sobre el cuestionario","survey_methodology_extra.survey_EE12","View",,"1"
"survey_methodology_extra.EE12_ISC_SE","SE",,"survey_methodology_extra.format_Char","enabled","True:EE12_ISC_TEL:","survey_methodology_extra.EE12_ISC",,"Su encuestador","survey_methodology_extra.survey_EE12","Variable","ISC_SE","1"
"survey_methodology_extra.EE12_ISC_TEL","TEL",,"survey_methodology_extra.format_Char","enabled","True:EE12_ISC_EMAIL:","survey_methodology_extra.EE12_ISC",,"Teléfono","survey_methodology_extra.survey_EE12","Variable","ISC_TEL","1"
"survey_methodology_extra.EE12_ISC_EMAIL","EMAIL",,"survey_methodology_extra.format_Char","enabled","True:EE12_ISC_DATE:","survey_methodology_extra.EE12_ISC",,"Correo Electrónico","survey_methodology_extra.survey_EE12","Variable","ISC_EMAIL","1"
"survey_methodology_extra.EE12_ISC_DATE","DATE",,"survey_methodology_extra.format_Date","enabled","True:EE12_A_1:","survey_methodology_extra.EE12_ISC",,"Fecha de Entrega","survey_methodology_extra.survey_EE12","Variable","ISC_DATE","1"
"survey_methodology_extra.EE12_A","A",,,"closed",,"survey_methodology_extra.EE12",,"Características generales de la empresa","survey_methodology_extra.survey_EE12","View",,"2"
"survey_methodology_extra.EE12_A_1","1",,"survey_methodology_extra.format_SelectOne","enabled","True:EE12_A_2_1:","survey_methodology_extra.EE12_A",,"Sobre la base de las ventas de la empresa, la actividad principal de la empresa es","survey_methodology_extra.survey_EE12","Variable","A_1","2"
"survey_methodology_extra.EE12_A_1_1","1",,,"closed",,"survey_methodology_extra.EE12_A_1",,"la venta de bienes y/o productos elaborados o transformados por la firma","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_1_2","2",,,"closed",,"survey_methodology_extra.EE12_A_1",,"la reparación de maquinarias","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_1_3","3",,,"closed",,"survey_methodology_extra.EE12_A_1",,"la reventa de productos en el mismo estado en que fueron adquiridos, la venta de servicios, u otra actividad","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_2","2",,,"closed",,"survey_methodology_extra.EE12_A",,"Sobre la base de las ventas de la empresa, indique cuál es el principal producto elaborado o reparado y la materia prima básica utilizada por la empresa para su elaboración o reparación","survey_methodology_extra.survey_EE12","View",,"2"
"survey_methodology_extra.EE12_A_2_1","1",,"survey_methodology_extra.format_Char","disabled","True:EE12_A_2_2:","survey_methodology_extra.EE12_A_2",,"Principal producto","survey_methodology_extra.survey_EE12","Variable","A_2_1","2"
"survey_methodology_extra.EE12_A_2_2","2",,"survey_methodology_extra.format_Char","disabled","True:EE12_A_2_3:","survey_methodology_extra.EE12_A_2",,"Materia prima básica del producto","survey_methodology_extra.survey_EE12","Variable","A_2_2","2"
"survey_methodology_extra.EE12_A_2_3","3",,"survey_methodology_extra.format_Integer","disabled","True:EE12_A_3_1:","survey_methodology_extra.EE12_A_2",,"Para uso interno","survey_methodology_extra.survey_EE12","Variable","A_2_3","2"
"survey_methodology_extra.EE12_A_3","3",,,"closed",,"survey_methodology_extra.EE12_A",,"En qué año comenzó a operar la empresa con la actual razón social","survey_methodology_extra.survey_EE12","View",,"2"
"survey_methodology_extra.EE12_A_3_1","1",,"survey_methodology_extra.format_Year","disabled","True:EE12_A_4:","survey_methodology_extra.EE12_A_3",,"Año","survey_methodology_extra.survey_EE12","Variable","A_3_1","2"
"survey_methodology_extra.EE12_A_4","4",,"survey_methodology_extra.format_SelectOne","disabled","sinput!=""6"":EE12_A_5_1:EE12_A_4o sinput==""6"":EE12_A_4o","survey_methodology_extra.EE12_A",,"La forma jurídica actual de la empresa es","survey_methodology_extra.survey_EE12","Variable","A_4","2"
"survey_methodology_extra.EE12_A_4_1","1",,,"closed",,"survey_methodology_extra.EE12_A_4",,,"survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_1_1","1",,,"closed",,"survey_methodology_extra.EE12_A_4_1",,"Unipersonal","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_1_2","2",,,"closed",,"survey_methodology_extra.EE12_A_4_1",,"Sociedad no constituida regularmente","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_1_3","3",,,"closed",,"survey_methodology_extra.EE12_A_4_1",,"Sociedad Anónima","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_1_4","4",,,"closed",,"survey_methodology_extra.EE12_A_4_1",,"Sociedad de Responsabilidad Limitada","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_1_5","5",,,"closed",,"survey_methodology_extra.EE12_A_4_1",,"Sociedad cooperativa","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_1_6","6",,,"closed",,"survey_methodology_extra.EE12_A_4_1",,"Otra","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_4_ESP","ESP",,"survey_methodology_extra.format_Char","disabled","True:EE12_A_5_1:","survey_methodology_extra.EE12_A_4",,"Especifique","survey_methodology_extra.survey_EE12","Variable","A_4_ESP","2"
"survey_methodology_extra.EE12_A_5",5,,,"closed",,"survey_methodology_extra.EE12_A",,,"survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_5_1",1,,"survey_methodology_extra.format_SelectOne","disabled","sinput==""1"":EE12_A_5_2: sinput==""2"":EE12_A_6_LOC:","survey_methodology_extra.EE12_A_5",,"La empresa, ¿forma parte de un conjunto de empresas controladas directa o indirectamente por una misma firma?","survey_methodology_extra.survey_EE12","Variable","A_5a","2"
"survey_methodology_extra.EE12_A_5_1_1",1,,,"closed",,"survey_methodology_extra.EE12_A_5_1",,"Si","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_5_1_2",2,,,"closed",,"survey_methodology_extra.EE12_A_5_1",,"No","survey_methodology_extra.survey_EE12","Null",,"2"
"survey_methodology_extra.EE12_A_5_2",2,,"survey_methodology_extra.format_SelectOne","disabled","True:EE12_A_6_LOC:","survey_methodology_extra.EE12_A_5",,"En su conjunto, ¿todas las empresas del grupo sumadas ocupan a más de 250 personas?","survey_methodology_extra.survey_EE12","Variable","A_5b","2"
"survey_methodology_extra.EE12_A_5_2_1",1,,,"closed",,"survey_methodology_extra.EE12_A_5_2",,"Si","survey_methodology_extra.survey_EE12","Null",,"2"
